song_id,song_length,genre_ids,artist_name,composer,lyricist,language
bTM25FJNlCHnltU0hhQDFAzdnOYsobmfCwwAnN1K2a8=,430080,1609,Danny Marquez & Ferry B,,,52
SONqxocCptA85J/tJ1hGlTVbQxs+x1gokyes79xZFO0=,266788,1609,Kyary Pamyu Pamyu (きゃりーぱみゅぱみゅ),Yasutaka Nakata,Yasutaka Nakata,17
Co8PcF2DeW+i14x4xSwe7YFkJKAm1B8SZNXdVTpsljc=,240326,465,品冠 (Victor Wong),品冠,戴佩妮,3
+M/yM08pYwOznHRvf9Aj95A9M85wn4/jsTX0ye1KR2c=,281054,139,The Weeknd,Abel Tesfaye| Timothy Mckenzie| Carlo Montagnese,,52
+dOlHQGlsiHPbG1cMYsoFVsAi05YgsGfeEzsdS16yec=,368441,1609,Marvin Gaye & Kygo,Marvin Gaye| Odell Brown| David Ritz,Marvin Gaye| Odell Brown| David Ritz,-1
gG3/58uZyyOwaPT+eGWL81mwCzcDPW2EmwYcjWmvJSs=,226742,465,五月天 (Mayday),阿信,阿信,3
i0JD8QBIkZtIoe0NvVQkGxDZGdRYPQ8woEL7dcaloxE=,212276,465,謝霆鋒 (Nicholas Tse),,,24
Sh6niIO6WYyFZbTX66CmEW8GphrK8tdmm3mpEpJL2dg=,190566,465,黃鴻升 (Alien Huang),康友韋,黃鴻升,3
N9wIY8MsBg4ctaiivtDCvk1ynsMtIbX9TpjkwEfidcE=,342144,465,HUSH,HUSH,HUSH,3
uHSNhmCD4V7IglA225OelhM+HreWIjFdE+nf3NicFOU=,394739,1609,Pet Shop Boys,,,52
QXxwXFuL2yNKyn2NM68uV7RJ2AaJukZeGPvu+y6kCJU=,238132,458,陳大天 (Daniel Chen),阿達/廖偉傑,陳大天,3
NV9HhUzyK50tGvxb3w0PdZoaw3Ypp86XDmmMr0vgFdg=,262749,139,John Legend,John Stephens,John Stephens,52
PFTxx8m3p9Sy3z0tkE/Tfysm4c4AXGSNTzVY6FM/Qag=,244819,458,A-Lin,金大洲,鄔裕康,3
fL+kYiefBmixA+rraUsD9svI5GrPBM1yUVmuft4cZVU=,235488,458,花兒 (林佳音),周佳佑,周佳佑,3
mHwy8WSNpd4E03pxeZ2vZJOSwFyjI9D/q8MpD2qpQ2k=,223294,,李玉璽 (Dino Lee),李玉璽,李玉璽,3
OLnB6amnCTMEz5KxrV7pdkXJWB+fnMoWVJSzv2AlBLk=,236355,465,Westlife,Bettis| Hammond,Bettis| Hammond,52
vzWZd7svSo4Xc/kUMEtRuAJkupQIGqcPeTqESWz84UQ=,196179,465,JUNIEL,TWO FACE | 이상호 (Lee Sang Ho),한성호 (Han Sung Ho),31
DhAkZvlnryiYENIhuxu1FtJeYJzmEZxDBQO8qaxx/hY=,290110,465,蔡旻佑 (Evan Yo),蔡旻佑,陳信延/蔡旻佑,3
aoojHrvDew9JNvFIVh9b7DQtdCIk44GwF6hrvjl+Eb0=,299816,139,Mary J. Blige,Mary J. Blige| Charles Hinshaw Jr| Brandon Alexander Hodge| David Brown,,52
igUq5ErBzlm2Wi05YsoiyWdxd4wbHGPaFOS8kQFhoik=,228717,465,Urban Zakapa,Gwon Soonil| Park Yongin| Choi JaeMan|  Jo HyunAh,Gwon Soonil| Park Yongin| Choi JaeMan|  Jo HyunAh,31
/pNJtPeT5RixL9cwAScQ83XG6lzNjQbxXdz9Bxm3UCk=,954851,873,蘇曼竹巴仁波切,公版,公版,-1
v27+O2w69lwrw/luclRexIr/mdGNCJJp/EBhmsLje40=,246491,465,吳克群 (Kenji Wu),吳克羣,吳克羣,3
3QZAIrm2XJ747bKJJSAMQ0yTsyX8JvXKI3JdGswnO7g=,207261,465,SUPER JUNIOR-M,,,3
dzAyth7bpVgPJ7ACTj/lnj6gXYJV1Yo9aetyqb1+lps=,333635,465,蔡健雅 (Tanya Chua),蔡健雅,蔡健雅,3
SpfSYkFYITvbQNXXtTSIWmpJLcYrnhg0oMq5g/9MM4U=,136907,1955,Motörhead,,,52
8fGQPXFKMW+0O4VMCbU8H6jUDeeRJerCvk++yjXcztM=,111966,465,Schnappi(Joy),,,52
x/sJa7GF5nZ36aAl5lDSjSJPVlobOx6ROZ3qB33RhMY=,263418,465,蔡健雅 (Tanya Chua),蔡健雅,蔡健雅,3
rdNg0FiLBStCei8h1/h2kwv8IS97ZgONQkb/kXGAvqM=,236329,1011,Brett Eldredge,,,52
dreY/kjMvCt9eb1J37gtistePo+3djW1+GeNz2oRQc4=,193004,465,Lorde,Joel Little| Ella Yelich O'Connor,,52
qw3PGnq5FcsA5vdkuxQZN+lf7iteNiRmzULg5ir1OR4=,266147,465,鄒宗翰 (Hans Zou),陳威全,陳威全/吳易緯(生命樹樂團),3
vLLKr+iN+vepbTD6W2kDXHvuqmGiXGdXRRHLjRp0pCQ=,300257,873,原力歌手,王苒馨,公版,-1
IouVtHBa0SRl7CqYwGkyvN7Vu7drl0Llq9swfIXwLx8=,208004,465,鄭伊健 (Ekin Cheng),陳光榮,劉卓輝,24
XqkttTMBlP95mxqAosrJkwkPGYlKHKnWjfMwfnINZBk=,224757,2022,ONE OK ROCK,,,52
dMJhInRHA2CBEE+2fLKScDETkr/t/pJUQVUAdsyqG+4=,277786,465,2013網路票選權威歌曲,高進,高進,3
9TxeC10erd6a5ATnCa57MLZrTkgNgG7zbJaHJryURFg=,268561,2122,Diana Krall,,,52
pSQ3cGYcIqXKM0dF5FSVCb716N9Xwa0Ka8u0xBORvFs=,264359,465,劉若英 (Rene Liu),木蘭號AKA陳韋伶,木蘭號AKA陳韋伶/黃婷,3
7+fRD95hiSFVW77AcaGk9asl9JBkQ7uXoeKqBltRdFg=,232756,359,Kaiser Chiefs,Ricky Wilson| Simon Rix| Nick Baines| Vijay Mistry| Xenomania| Danny Shah,,52
m86acAJ3Bj2fL+4vbwWPHmOlrxF1Bk9F34/6kj5JpjI=,293511,786|947,寶寶水晶音樂,,,-1
v91olyybN9ksMslVNo8ZdbOwj/gtBv4VzK35LEk0B/M=,253492,465,周杰倫 (Jay Chou),周杰倫,方文山,3
7HZRpauo3ediOwo5NUyJEFaybOpu/9FLdOskLIBwi70=,176170,1609,Martin Garrix,,,52
YdVtBho7uBMUYTmdFGoP8JRevrF98a5dFkEmSIjr8/s=,362788,465,楊乃文 (Naiwen Yang),,,3
rLg7/aiyuauJqbKNpezNf4+uZ+nbIxidLppkDqITjjo=,242602,1609,電音E帝國,,,52
zLH4sXtrHP4Hu23vzKPbYbu7zm1Z8deQQM6wDrORgkE=,298794,465,李翊君,T.C. Liu,,3
WJHs/1KOxBLRJcaA4SoaloHh5jwb5ZhGnjx0RwHlZ3s=,263755,465,孫燕姿 (Yanzi Sun),Deep White/Arys Chien,Deep White/Arys Chien,3
rgIz39G7ykvUTc0NSmGChY/Vc1rEHsCf2AmvfWu0xgk=,236460,465,滾石金韻民歌百大精選,,,3
Fx62cdbh2p1CYkwibqN2DwSl+X1wSoCS+OeriONVTuA=,266866,465,侯湘婷 (Angel hou),,,3
UbOpoUBp1iIUNLnZi886sQMjyWI6EdQHpMYshJaXHVc=,326844,465,蕭煌奇 (Ricky Hsiao),Hsiao Huang Chi,Yao Ruo Long,10
q0uoD+Tb1VDtc5Srw0G3wJnxFeUTM5rVoPzvwMszedE=,323605,465,Yui Aragaki (新垣結衣),Kenji Kubo| Kubo Kenji,Iwasato Yuho| Yuho Iwasato,17
9wlALxtR+VQV/Gyjpw5ze9/fJveCVIvKj+KlAP4lL7o=,172245,242,Peggy Lee & Benny Goodman,,,52
ow9h9K+CIS0SzFZ0ipgI9davwVpxLmB3Fz2Ct4cL9SI=,240349,359,Imagine Dragons,,,52
zyO10vXfMjUGAE7XqKbK2pS8VGN8dWZ6s2PsD8gbKJk=,299026,465,蕭煌奇 (Ricky Hsiao),蕭煌奇,胡如虹,3
veeW5CZtHxWRT6rznk1m0uUZs1Zp0/UKKdpz64dP9Vo=,244088,458,林宥嘉 (Yoga Lin),林家謙,黃偉文,3
R+NIpdw3uc5e71o5+BhPyPidezdJeLGzDNDuxoiYWPE=,207934,465,BY2,林宇中,林怡鳳+毛凌琦,3
M14BA1BgGok4TpRqNp2/YITHmSvP1CJwIvifkNENSf8=,251904,458,花兒 (林佳音),WG,WG,3
BQKfikUmnGfr1hKXH5XyESdLbw8LVlXPNanXU9ynjIo=,167105,465,Jasmine Thompson,,,52
TVGXiftBtpPjbEmF1F5r31MFHMQJo+kAcBMEX0oG05E=,264103,2022,法蘭黛樂團 (Frandé),,,3
SWVyLXlJtVtH6RT55x5SAk9GizXu4KUS9jPFfinsrEQ=,215519,,ジブリサウンドトラック,久石　譲,覺 和歌子 Wakako Kaku,17
vBICG1rGbS2Cfj+/bAQFb+5IYVKhdLOGcnN3nlel728=,38359,726,50 Best Children's Classics,,,-1
/kKatC5L3zhUaUPIIWu8xhxVIaO1nXo2ixSXHFFJlys=,204173,465,八三夭 (The Last Day of Summer 831),,,3
I/La/znX36CnxSjgTQZnz5G/q9Xf02TMY5oPnRkzSjE=,270048,2122,Kenny G,,,-1
XdKXz51HBjaTKkOmRvvrPBD7CdkCNcToc3iT5dToVsw=,252586,465,Secret Garden OST,,,31
R/AOsz3pUshdY/o9mkBoLbJKMxQlf7cgjvEEOifJwkI=,284525,1259,BANGTAN BOYS,UTA|HIRO|RAP MONSTER|SUGA|J-HOPE|PDOGG,PDOGG|UTA|HIRO|RAP MONSTER|SUGA|J-HOPE,17
YOazPkCHgysjxfbOBEntiY5CU6vK4+VNHFAQmlH9ans=,203221,1609,Armin van Buuren,,,52
UfK2UdQAaYF6IJUXqSJ10FsbAF3YkvMJYcTYC2Ec5m4=,222649,1609,Calvin Harris,Calvin Harris,Calvin Harris,52
o8I8zqepEor1Vf4Wvb0MW65KK14xPFVm672bLCDPZZ0=,221622,1259,黑錢幫 (G$MOB),Chris Wiebe,于耀智.楊文賓.王濬傑.滿人,3
oO+abG+WVeSmJlb9LLUZlg9GiCFuZ+AsMEGVlR33BFg=,330884,786|947,李欣芸 (CinCin Lee),許嫚烜,,-1
avP7uvxItW2p0aTKfVvAHEzKRF+4UrAN05oK0BiIGIQ=,95086,465|921,海角七號電影原聲帶,駱集益,信文:魏德聖,3
ejj7FbqTWzqJeZJeYyAlhAoH8D/S3+FQN1La0IOxuyI=,253596,,孫盛希 (Shi Shi),孫盛希/Skot Suyama 陶山,阿飛,3
Noeu7vuMPsE0YOVjjER8noULjFaZC7VFnRAdJ5EsHzA=,242811,465,鄭秀文 (Sammi Cheng),Gigi Leung,Keith Chan| Keith Chan Siu Kei,24
skCaG6fywLmpJaTNeqL89sis3vUydYzd+HLnBy9DsiE=,199645,1609|2107,David Guetta,David Guetta| Giorgio H. Tuinfort,,-1
ulqzONAyVEfaLbmAo6biIjPlUFCBaOSHmbGG1VJSjk4=,262106,465,孫淑媚 (May sun),,,10
/XuPT2n3/VjGZuKKCxEwj97F6DRWiyBmFQpoZN8I5/M=,219324,1609|2107,Kyary Pamyu Pamyu (きゃりーぱみゅぱみゅ),Yasutaka Nakata,Yasutaka Nakata,17
XCLTSwcKdd4emAdtdyYPKU8XPCJwh0GH2JwQhI4Bf0U=,186906,2022,Skillet,John L. Cooper| Korey Cooper,,52
Z0J/qtjv7A5dtkS+xgQ173lvH/s47INk3vbzdC0Y99Y=,235937,465,梁靜茹 (Fish Leong),,,3
O80yuLYpg2y/512HcLB+gzaH/waW4mC50B1q3mg2qio=,166321,921,Alan Silvestri,Alan Silvestri,,52
+uLozC5Uy/kiXdW76c/Jcyj/edSaCqmohhVUhaSD8p0=,169377,921,Various Artists,,,52
XA6xu8p+4KIcCrCY+8xwokYXhD4DOCOBRldmRSUEBWo=,167602,947,証聲音樂圖書館 ECHO MUSIC,Alexandre Guerra;Reginaldo Fazzatto;Alex Guerra,,52
dc4auN0Z0pDMFI4Ax+UVO+v1wGVjdNmLiE5710wrF/A=,199575,2022,棉花糖 (katncandix2),,,3
jVYiSz1UE2yeNvQh3oJ9G09QwFc8n6dXVeTCcN+Yw5A=,296437,958,証聲音樂圖書館 ECHO MUSIC,Paolo Vivaldi,,52
nO+tjL6/qHgNO/ui0TjeP+nSsD+aoGcT9AHU7Dtrzsc=,227327,880,Casting Crowns,Mark Hall|Matt Maher|John Mabe|Blake Bollinger,Mark Hall|Matt Maher|John Mabe|Blake Bollinger,52
L/3Ml2YPtIIIfN5jZ3gEG3Cw+0xfIXole8Q2n7hYwWw=,295706,465,伍思凱 (Sky Wu),,,3
ZxB4Y6OFY7oArWVqRWofM3g714CWrHbY4ohABjzGLFE=,256052,1609,Robin Schulz,Dennis Bierbrodt| Guido Kramer| Robin Schulz| Jurgen Dohr| Richard Judge,Dennis Bierbrodt| Guido Kramer| Robin Schulz| Jurgen Dohr| Richard Judge,52
7HohHJIAbKLQMA3VJmea/oudTFSUM8O7qrH2gvuhuhU=,257115,465,王菲 (Faye Wong),,,3
brkiVNHpS5jyy2FcWsvYXxjkj82pD0VSWiCw9qIRHnk=,195674,458,王若琳 (Joanna Wang),Peter Sven Kvint| Vincent Paul Degiorgio,Peter Sven Kvint| Vincent Paul Degiorgio,3
/QDDiyMuq5CADu5b9HCMnrQa5/MfP3iEJOKn4GN36b0=,210558,465,Girls' Generation (少女時代),,,31
1Lr/g+TgtSdEO5mGmjGu8vGIYkMOWKACfffcilKRwKM=,306050,481,Angel MaMA Story Teller,,,-1
hOODmOBNQ2f1BeUMJqEv5rfzjM5G5C6rqAwi1QBJi+o=,247455,359,Paramore,,,52
Dm3IIPOFbrvJp5yuJIlZI0pfdWyMAB0F9b2J6rIW0bA=,194272,139|125|109,Solange,Solange Knowles| Raphael Saadiq| Dylan Wiggins,Solange Knowles| Raphael Saadiq| Dylan Wiggins,52
diBJsOVYhUqt2HfeFKy3ZEnI7NmzPVzCnZbpFdDF1Xg=,246642,465,2006 MP3人氣超強總冠軍,,,3
Sxo1TUq7xGpwHOdh3cNHSUt7cQhRqH3uhlO2W8KzGEI=,231340,465,Kiyoshi Maekawa (前川 清),彩木雅夫,川內康範,17
estbd9IwIBucEXA/NMyVoEm72l8536yQODQMfNRyE0c=,244645,139,The Weeknd,Abel Tesfaye| Thomas Bangalter| Guy-Manuel de Homem-Christo| Martin Mckinney| Henry Russell Walter| Jason Quenneville,,52
R8o3H0gQix1FHU1wk8n8QQOXDMYp/Hj5Hshmcm9RA6s=,227184,2022,Bon Jovi,Jon Bon Jovi| Richie Sambora| Brett James,,52
fNGZRz2UaLIawcpDNoGPxI5xOVi/Qp7WOSuLIlU/YJM=,201247,786,水晶鋼琴,,,-1
Z/eQEIdz8xODvKaE5tAFG3h5QMQ00Hpj80Tohaulapg=,239490,465,品冠 (Victor Wong),品冠,黃婷,3
qrMylTYI7HpY1UdZX7CASPuFzBKIFBRNr7lMX5p2XSM=,65062,726,幸福的孩子愛唱歌,,,3
1shZg1e14cstzrHM5VEtejFPZK003b2ufdcb4vIfQCk=,227277,465,Lady Gaga,Lady Gaga| R. Kelly| Martin Bresso| William Grigahcine| Paul Blair,,52
bVVnvGQeuLYge+mH2o6y85YAb0fl4gLL0YnU2TW0oe0=,242114,798,南方二重唱,,,3
w2D9Mf7vMdav4rGqPN6s5BMKGG85HCdLgGEoCfAX5aA=,202240,465,ROY KIM,Kim Sang Woo,Kim Sang Woo,31
9n7wAgUs+meZ2zaP+Ej/Zs3FXXRMB8fRCMIqlls7qkM=,202106,458,BOXING樂團,Xin Yan Lin| Kasiwa,,3
SDQmfpveCq7FN7EhWPSfBSutzt9qCj5B1/oMCfpfuPo=,318624,458,陳芳語 (Kimberley),梁永泰/余竑龍/James Kerridge,梁永泰/高愷蔚,3
h8zwwhonBSGtcI688j7pP5NE1Z4g3+coJ7k2qHjxhIM=,320528,1609,San Holo,,,52
vTvyjDldlbGv4WmemxVKZVaGcJgiPMYSK/jaNrzPJtk=,228832,465,安妮朵拉樂團 (Anniedora),陳以恩,陳以恩,3
/NTVsJA82MBhY1WAghwtvhiTvaTwgvgdIsBganIUXzU=,260108,465,Katy Perry,Katy Perry| M Martin| Lukasz Gottwald,,52
TiNGzZlamywt5ssJjGnOwNNodrD4B4GXNdkcZYS211Q=,253097,451,王菲 (Faye Wong),S. Burton| H. Horrner,,3
HTodq4fjFpxpnEKpzejkuRZby7L4Qy9pQPhBApfeX70=,194490,2022,Guns N' Roses,W. Axl Rose| Jeffrey Isbell| Saul Hudson| Duff McKagan| Billy McCloud| West Arkeen| Del James,,52
D30tn4ZPp5wHQlQD4H5szgg6ZCVroU6hbyEAKiuNmkA=,144039,726,勁樂音樂Big Bang& Fuzz,Joss Peach,Joss Peach,52
WzU1RstYnUMxQB2haCCn5HUTEeGiodg4Mhu2WmNlPSI=,291422,2022,棉花糖 (katncandix2),沈聖哲,莊鵑瑛,3
Wy3ET/ed33iIFMp1XSWIfrGRv8qRw0ohmbXVVG2Nh2o=,146599,1152,Deep Sleep Music Club,Johann Pachelbel,,-1
iKKuczNsdSqGWfosb9uRTuwWXFmweXhOldYQzg2cP14=,245852,465,Pitbull,,,52
vh21qnqo4x98JKcNBc79WHZUZvhHIgm5lj8n8jMYRYU=,213205,465,f(x),,,31
dcLboW9Fm8BxXVBarq0PIBFEURsFw8rBvNxo+DMNVLc=,267075,465,Various Artists,周華健,林夕,3
L4Uy3SWsOqlaWH77m5Sx8XLX3hPnfXHLduNifMPQcA0=,243043,465,Boyce Avenue,,,52
McjGXAN59PRiDPcdHoBkaH1oYdQO9vP9SiqzSD2ulHQ=,274494,465,翁立友,,,10
MQ8uAkJ+jBwfzVl1EyMZKeSfKQWp+uX9+9LTc5B+HTE=,247118,465,九九,九九,Mayu,3
fE4eenCMHkw+91w6waICwpQfcqBniMWs60r58dPikqs=,288384,465,曹格 (Gary Chaw),曹格,何啟弘,3
zQZcGXs/vJrY4hm6Y5PFSwGvmcFqTitUiCBmJl86JEo=,226847,465,小宇-宋念宇,宋念宇,黃文萱,3
2H29Xavn+y0RnOL5+icrgrFnqCiX+17VE7bDq7qjbJc=,338152,465,閃靈樂團 (Chthonic),林昶佐/劉笙彙/葉湘怡/汪子驤/高嘉嶸 AKA CJ KAO,林昶佐,10
/ZnGVF4G2OFL7A6DPMPmRp+NpXEGIQxvzXbpqCX8W54=,264211,940,Yiruma,Yiruma,,-1
qxb3gMZsXI4CaNFxncyvktbu9N1yw+ct1KQK90On44Q=,232698,465,賴慧如,申喬希,申喬希 / 小路,10
R52fz69CefL0gjMU86j4kmRVBLtBPchF2fzruvAQvas=,184366,465|1259,Timbaland,Ryan Tedder,,52
Y/mDKva8E8qq2f3QKjDczC4grAenS7/rLKbgTgsEk2o=,190914,786,和風輕音樂,,,-1
zgi7xuap6x24XhKCKqMR+W467T/B8VKo+Iml43LYIjk=,234893,1259,J. Cole,Jermaine Cole| Kanye West| Sukmeke Rainey| Miri Ben Ari| Bosco Kante| John Stephens| Elliot Wolff,Jermaine Cole| Kanye West| Sukmeke Rainey| Miri Ben Ari| Bosco Kante| John Stephens| Elliot Wolff,52
08LI1nuReE7C8nGzxzHcwIlmklduWwJu5SGmos0Mzg4=,217652,465,草蜢 (Grasshopper),SRAFAH,,3
iMnukgmQGKejxfhMaCAewvqziHqCMHO8kXIt9x/8zfg=,145635,465,Natalie Cole,Harold Arlen| Milton Delugg,,-1
f7JWIGz262bkL8I8J3YYlnGgXzoznQScjUwvCeTwyjQ=,164536,465,Albert West,,,52
4+c6i41ChAK5PvpjAKgztqK3FivROg7NUVtUMI5UoB0=,101042,921,Master's Sun OST,오준성,,31
P8ogzUv2Cvlrw7ed1Uaxod2ELCQzkHxQA3XF+haRRc0=,128359,2122,Sarah Vaughan,Cole Porter,,52
gGEFrOH+rUXXNK4RZLA/5oAXQyQbxc6Hio9dBuTXYRM=,221831,465,蘇打綠 (Sodagreen),吳青峰,吳青峰,3
Nr6bJsYruX4KZR6DE2x36n72kSAYwSUIhWheMZFlhAU=,299781,786,宮崎駿映畫名曲集,Man Arai| Kyouko Saimori,,-1
1m9dlm7JGfrmixY3CmSgkQvK/fLexxJRnhrGGmE6zLs=,219196,465,Final State,Final State,,52
9ahPpI6iIvcdNQDOA+0yn+3njipMtEDH8LJ7ckcWU0g=,267354,465,ABBA,,,52
4otDQDgvvjSUXy7tOSoQDxU6uFb8UNEbhIfuc436Bmc=,182752,465,Jess Glynne,Steve Mac| Jessica Glynne| Rowan Jones,,52
y0NOlI7SSbjlur9baPK8LF7LXpC1VzSuFMy4oHSb75s=,214296,465,Savage Garden,,,52
TGvud+ffIR1eB/7pmW2F4oOv0Fdw+FTsyHrcVpFrf9k=,217652,921,Various Artists,Park| Se Jun / Lee Yoo Jin,Park| Se Jun / Han| Jun,31
S4DaoE/w3tfoRxB+0y91LWZpHA6vFTbw4eUJmeZlpok=,236286,1082,林淑容,佚名,,-1
BM1GfXZy5jpM5iiYCurlHA+zRQbiEJ0NW5kS2BsA+nE=,263732,465,郭靜 (Claire Kuo),戴蕙心,陳學聖,3
2qNd1NhcwXbLQgNh+bUSjkQWxV3FIJB0J26lpV5qfV0=,282540,465,貴族精選,Grace Ji,Grace Ji,31
5TLmh9IL14iz1nHOE/z2ZZtGST1Gg6oGGV1L0D5yEaQ=,254026,921,Various Artists,陳小霞,姚若龍,3
+O8yd/0Klq+CCUAEipJQV12NYfcog4g8z/5F9gcysM4=,213263,458,王大文,Dawen Wang,,3
MEmRb1tG6yYgWqj5mIeD6yvlBlHxXBGd+B2GVqOk11s=,233116,465,黃立行 (Stanley Huang),,,3
cJZixzL7GIEzhEcVcA9Llqr5BzoWQV4ltL8CQjpiT9s=,269212,465,The Best Love Songs Collection,,,52
cwsi0nPZMwgzrFYbUVppLrZB2z2O9t+nNp1KiMtBXME=,286928,465,飛兒樂團 (F.I.R.),Fir,Fir,3
y5iBOZRuY93iBVFeRkNiBkLN4EQ3d6JPGp/yKVEsF2M=,248871,465,張國榮 (Leslie Cheung),,,24
sF6f7fg7qB6fwkn9xVzSZPdfuU/EzGd4pKE/toGhRu4=,235868,465,拜爾,,,3
7NV5M8GgEsxUg+g7NrirunNIm1Qu7G+y9Dl+X1xsr3o=,219776,465,王力宏 (Leehom Wang),王力宏,李焯雄,3
XAdE/7TmqqcYIwnlpPB1HEajZFolNdTZ/1YC/NSXzro=,235125,444,NCT 127,Korean Lyrics by January 8th (6%) / Seo| Min Ji (2%) / Lee| Tae Yong (2%) Jonathan Yip (11.25%) / Jeremy Reeves / Ray Romulus / August Rigo (22.5%) / Ray McCullough / PRISM FITER (22.5%),Korean Lyrics by January 8th (6%) / Seo| Min Ji (2%) / Lee| Tae Yong (2%) Jonathan Yip (11.25%) / Jeremy Reeves / Ray Romulus / August Rigo (22.5%) / Ray McCullough / PRISM FITER (22.5%),31
9ecy8KljkhHPzKZJTphv6ORUDAiNFBZB3zFun46wneQ=,301116,2022,Janet Jackson,Janet Jackson| Terry Lewis| James Harris III| Rene Elizondo Jr.,,52
6HSib7KzfFcEGZhRn79pEONbiw61Kfyz+C3fWXJMZCc=,247013,545,小童話大世界,幼福文化,幼福文化,-1
Sr//KKIsfq1+spDzBU+SjPeNt1B1OzUW10HiqH0v91Q=,230791,444,Baek Z Young,,,31
aAPOGxLkKR2u7UtECiuES4aMTMrEp4IUrSN5KDzTBT0=,184234,465,潘安邦,葉佳修,葉佳修,3
CiqNIMIbABJppiANfkteG2ZWsNcw5SfonCbo92yAv50=,286197,465,蕭亞軒 (Elva Hsiao),Wei Chen,Yiu Fai Chow,3
0UE5EH5oqiKDhs035+EnCUMHsNctmGZnGi/cYBKLAVw=,244621,465,Kygo,Kygo|Ella Henderson,Kygo|Ella Henderson,52
664Cs+Ge1tPoiHtZLIcvCGzk4WI3GqkniUDd+viK+hI=,266843,139,Akon,"Aliaune ""Akon"" Thiam| Giorgio Tuinfort| C. Kelly",,52
