msno,city,bd,gender,registered_via,registration_init_time,expiration_date
ox62m0QICnrFa8/ZM5jJ5WBidWIieREUjUdCiWExLSU=,6,26,female,7,20140118,20170917
95tnnY+Zq8f4jpk5SaDWcmnngD9dFe/OwxAqhss6T8k=,4,25,female,3,20150624,20150701
Der2/cdVesg2+u1UZX/u11dZBM/FWtNl1TlKIK82puw=,11,21,female,9,20140817,20171231
SOanReUpXJH3UEwvJ6aTcTadeSydUVKfxTLMT+eMUug=,1,0,,4,20151007,20161108
wuQ6XMUzOWAOoi+ucwMIa1/qKYpURWh1UJLwnuopyQ4=,18,0,,9,20160128,20170914
gVhSsPpgPahjgc3otkuh5me02Tk9MFKkISphH5oKQVo=,15,22,male,4,20151029,20171006
H/6Rt7HmjNUxYmLAMQxAhzgXKy+m3QdkAxFEl6TraVg=,11,16,female,4,20151018,20170316
pXrqb5LRcKCG83LnFoa20jebHP4/gRnEvzq8Ik22jzY=,4,0,,9,20150613,20170917
22Ki9N1ODFlJMiZaAi91MDO0R4eDL4AecAjKfGFWDwA=,1,0,,7,20160116,20170915
UjuPJCQo/YoGVR/yJ+CocmWUk2czJE0BBKqaPpVYV64=,13,23,female,9,20130518,20171202
iOz2XV2LF6MiV+02PovZKeNFDk4+0hWf/QuyiGZ4cCI=,4,28,male,3,20160101,20171005
nbytZ3+EdbMM3Rk80k4v4g4t4HPbtUAmAIGXYw31mWc=,15,37,male,3,20120725,20171005
uRLetVA/REh7ndu0cxJk7MR39YSYzD6MBrBjeqztI0g=,13,18,female,3,20120629,20180425
0R55qOL5jJOFTZpGVIrbfTmRvUk+GGsZigvJt8/ugOI=,1,0,,7,20120512,20170912
41MfJ7RfWrPiw9z3h/BNLiqki6fNWdza8iu2Ll+YXB0=,1,0,,7,20160229,20170930
dqJBfV3kbGznStSZrsned5Ke8VMIeNnIfNbgtRkQAwQ=,1,19,,9,20150509,20170911
U9wGSC/pB6SkX+3yKHDfJQyCnUYqvqeZYOCNbroOJf8=,5,28,female,9,20130531,20171006
AzWRtpW15SXyHSoc03ooyHYxZZlbc3jKgD5QswBS6Oo=,1,0,,7,20150518,20170916
bwz+fTFHhvPVRy+sRq1DMVNEavtiyhxSVIzvHr6Il0Q=,5,51,female,3,20150916,20170923
pOldmrJFqYEBWupQVw1ZZaitWcM2vgzZtkSRC8A0MrU=,1,0,,4,20160603,20160606
W3V5FZXYJx2PCUggs6sEav3IEt8qc7I3koerUmD5sN0=,1,0,,4,20160208,20170708
WNfCAbvOG/RBNqVmDhv8VUKo4oo7Y74X0uidZW72JnU=,22,33,male,9,20070611,20170930
XL9fOaAmdfJV35udH0/W7xjOtu4REE/Iwlks5ycurHo=,15,24,male,3,20130407,20171021
2ByH1Vd7BiB8nYGClG0juSnBzZ3sJ4W4a2WjedWSOWM=,22,17,female,3,20141206,20170813
L43N7ETWKG4p+4KjZ6OheZUJUtfxY+oIDLGP3Hv/NHo=,14,0,,7,20130714,20170911
er9UcmDARoufKDEoanCFKyU8uro0EVaM23eSAehSs+c=,1,0,,7,20151020,20170919
uHqAtShXTRXju5GE8ri3ITsVFepPf8jUoCF7ffNOuqE=,15,26,male,9,20111107,20180304
YoWQgI2fadjtoh44rN83/77kiP2zxq2/JzbZzn/hwCY=,5,45,male,9,20060226,20170707
0KZWs+W+Qty/VjnQJO50l4hcEa5aBvew7pzCfHMGrfM=,4,36,male,9,20051118,20170402
7fxXq98BYeINQI/uYqCH0z+oiMz26YqTI21KbCRpxZc=,5,24,male,3,20140817,20171004
0GutaSTo8H828E/+hbI1WYExhGxBwibYh1rsLe40jf0=,1,0,,3,20131115,20131122
wlu0WrTYSRnx36Jex0SCy95+5SKHcpD8Ew3TG8lC/NU=,6,57,male,7,20100316,20170919
ULv6aMHgYL9T6R98vOuZROfTnjuLM7Qw1Et0le4Hf8k=,1,0,,7,20161129,20170930
zQlcJ+gkIJLlZi0+JfUVGwKogyM+kKK0AOKM2BMyqsk=,1,0,,4,20170108,20170111
xSFqRzK2vBCY9bwpU7PobpeRBJFosVhI1WFZ4qJw2ao=,8,25,female,9,20060702,20170808
HtYB4yOum6Ga73vmDhLTcSNbe36/zIBooWiGUFVakEg=,1,0,,7,20110829,20170913
0MXdpE9QGej+UldeCesAsgOIedXLP65FDDALMi+S+zg=,1,0,,3,20140320,20170925
ZjY53s4hAtuI99fCkk4qlBOgXzhmWKOwxD9JmjtlAzU=,15,0,,4,20161010,20170916
ZazXaHQ//fIYg+29YARLPoirnyN4Mwn6TDMcBMbjxsE=,1,0,,7,20150103,20171002
EwVLy2eQQ+9VypYM4r1vbJfRzJwfDf+ukk6/sg/8IWI=,1,0,,7,20160110,20170910
3GgPEEsqwmrOM+CZBPqiFP+k21BKB5vLGZ+iOkTY8Rs=,13,0,,9,20150723,20171024
NxObdMwkWPWkMwB38jQn/xsPFMG2IQ/GX6+OaFlFkiQ=,5,36,male,9,20110226,20170926
VMoyMMb9Lb329MDb7tksWWMkXxj7OPDF1R247AheIko=,1,0,,7,20151125,20170522
5tmaYIuZWO7AX+pq0ZqXtuX6mUYl5nQGWOxsg6PlFoA=,8,25,female,9,20161110,20171009
VOChlkyW2oFb1VfOO7KoMXr5V84Rc03QrewAiyEWv20=,1,0,,4,20160410,20160413
PpfRnrpPtGpF/WuroXBXYjPhinsxPQ+YBUE6OT81PNg=,1,0,,4,20160204,20170716
ik+dP9XmiuyBzl5b9mU9kPKglAAQq5VZFDRZmIGVYB0=,5,18,male,4,20151213,20170912
mBITVVG7e67+2x6iAlqIYeR4x06JmU1spY2zE2rRclU=,1,0,,7,20110313,20170914
OPoH/AFGV+Ee9h+I7u8iaQcAtQ7+LbDmORsMeJntrJA=,1,0,female,3,20150612,20170713
FAVJW1l9/lAgFiAweQO4OCyFyZDIEL2e4pxiulL59UY=,1,0,,4,20161202,20161205
PLNBLCjZDrHxq5yfT8SgCglDZk+jdmbiMsB0kKktsfk=,1,0,,3,20130410,20160614
t8vm3Gr4vn7mI5R4KvgLCGpszgtvKvl91hTnl2zAq7A=,5,26,male,3,20141107,20170616
sKZTbKljQlRVqSC/TD4pyB0TbfKkXH61lKzAwInAOlY=,1,0,,4,20161029,20161105
mPLH/EEgV39HRcIy4l60ezzptnY5RdykNbx08r3Yqgk=,1,36,female,3,20161206,20161209
jo5xG7297xy8/Rp6gwT4LatTGD6ySTa3aliq6RV6Uk8=,1,0,,4,20161105,20170718
CZ09Mdqh2ypAncov76nnKGn9chyJBrPjph4McW0wkes=,1,0,,4,20170219,20170222
d+vzmduRJZbkWVqSPpfI+f9tu0nqNiKv5d83fveQHa8=,4,27,male,3,20160806,20180602
OY8nHf5TLStttsuwrNQcR/wP2wvyeVpD6/eHh1SlN3E=,5,26,male,3,20161026,20171006
wt4LhyzikzwS2J1I3Cc7nth5yPCk+yZhOYhi/JOLSNk=,1,0,,4,20161212,20161215
aOLd/lr4ZGk6hWC+cwyJZWe/k2oU1DWvHpSFlRmNcVU=,1,0,,4,20170228,20170303
qab9kXpznvXpUeIPvaL0S+GHDaRwhraGR91FwLdPs7s=,1,0,,7,20170211,20170910
2IYiZOtqpf991PVl3UwXPvNMJLU4N5LKYavoaM6KA4s=,1,0,,4,20170211,20170214
gdiJdaFWhrObKEhsZul74QjrmT7g1UO44T0fWhp/jcE=,1,0,,7,20151101,20170930
0gN7VbYwpZAGLzlWgWE3wAQ26XgQ/P5SG3aGIvVCmkw=,22,21,male,7,20151110,20170919
aI2KG6j7VtG7MFbbmlP/wVSJPykMCTki8YwrenxCrOA=,5,34,male,9,20071009,20171001
3b/9rz5NDpWtC13OaqIJ3R/2kL1XuVhqWwVk5zFCmxE=,1,0,,4,20160413,20160416
NE+jdORNBYCKR9xo+TNptpDx2TlRajNS46GuTpxPSCw=,13,22,female,9,20150512,20170913
8sEEszoN7JW047C9Qt5XN29r7UJwsb5J6RWTz8gLlqE=,1,0,,7,20130604,20171004
5aK/dB0N/7AuXaOmBdXsawoIgJ3I6332BH5tBvChWt4=,11,34,female,9,20120627,20171022
1yd9fOVZVhdmRiBQSGNNIkt1auPjBJ1nSHWhVHLR9Fg=,13,0,,4,20151107,20170930
hZ4kF/3r+IOCcO+h0oPXypRkx17TF0LI0tq1qATx4/4=,4,32,male,3,20120606,20120613
H1iLsaODONTbpeZL5ZV/sco341Xf/oCQ1P71tiLO6mQ=,1,0,,7,20120705,20171003
8zVSqcHNq/TiEhi937MM5tunqE0q/mH+F+mev90qQiw=,1,0,,7,20160205,20171005
j99U1/u7dthHsGVBZlmLfWrpLLJbYwoWsK9iLzlgXwE=,1,24,female,4,20161215,20170527
rjz+4BXypWf6AufCVKB4d/KdKArtRmjLGfzH/vWsLi0=,1,0,,7,20110214,20170908
N/f1wc1zrqkLtVc9YcUdQDDZZXW8KkNDW0rWDBNc4Bs=,22,29,male,9,20111214,20170923
fxF2rbjGH2b2O0UGcBDeeIkxDJuME+fwm2t5wWMNTnw=,15,0,,9,20131208,20180714
1mLIcr3KuTej13nEnSW6pDjXekZvNlsgCs71dZtI1y0=,13,33,male,7,20110330,20171005
2py1N+YUMs51S5OZ5jCZLSt7kpV/eVoypoROrn7x8Ys=,6,22,male,9,20160827,20171014
3giCpixC1FL28LGRjidcgvBFRbVkddA+iBO5U/JhoyU=,1,0,,4,20161122,20161129
y7Y5XpKUs4N02t0qxP/acLPovhnsu0wdHMH64cj0sTE=,1,0,,4,20170213,20170216
xMVLYwzwuxgRKiitfivU4J9xjzUPJ+oLd5ePnP8B2XQ=,1,0,,4,20161016,20170710
woGSczTyicy0k4RCzyTKxUDR9spumVOEBEZs0fOBmK0=,1,0,,7,20160128,20170930
0X3uXqsjx1zgdf0fWs4yd7ZAleoZxHUxg2fJ7d3oX2Q=,1,0,,7,20130624,20170930
PkyjIeI3i6e/DtcQidRqTznpZzCjFvnBltJtA/hYfFM=,18,21,male,9,20070517,20161217
U9Gjfr5GWxo6IkFGOeYg4KEjFoeXwYacBoiEkkMlWME=,4,20,male,9,20161208,20170927
U1Jvbp3Zc63xATwGZzBihNhXf6XVE3418kiiGpftF+U=,1,0,,4,20161224,20161227
d+oHXwF/bCEnGCcT0umEX/krK5PaSRqNvXzvHcj+XwY=,22,15,female,3,20170223,20170810
0rIt30G/o/eE/mAVdMnKmcODrXLbaVVBeAOFaY7Pu/w=,1,0,,4,20170104,20170715
5coMoK00+Wh758p5608+W8aiXXNiuwmsse6nXjeyMoU=,1,0,,4,20161204,20161207
fX34mAOUqHCximcSL1KPPur0BUhONeQT1msj/qHsQJ8=,1,0,,4,20170111,20170114
ea47BKY1eBwK7d7NGFDGKNT6hE25JV9hDPPd7wUNc7A=,1,0,,7,20101125,20171007
Lc3yEg7tuWZeTaw6X1XbLL0jlucvqv9Atk1R6nFLQ68=,1,0,,7,20151118,20170917
KGeDdiIUGnenx24WxLDeT4N5npGddZoUxD5Bh31lFZY=,13,48,female,9,20110807,20170823
S8ZcCPtrkaqyeBqyr3xpJpNGHlxjX5j7wsTJ2Mchnec=,5,50,female,9,20100527,20171102
jSnHueBmaMbMt1atFuzpD2XTT/rvJmGKzHZisv6SIMg=,1,0,,4,20160208,20170330
4jyT2zY3wRcHYFODST/9VoRJoz+EhZeu9YzhqVnCvRs=,4,32,female,9,20110824,20170926
NiaGJb+G9n4RHE6nQtkihtJNZFlIRzBHpZWjfSIhBlU=,8,0,male,4,20160415,20170921
DqBbZixgLoGAyMLF4/Ut40CY4zRQmdR9bSDhJOrAKTA=,5,54,female,9,20111014,20170924
JJsP9WrHRNtM5RYNJfmSYinSaZUjyqfMmHD1PcAxWdI=,1,0,,9,20160419,20170913
xiBTKzoxEhPjQdpFljMmpd9pEbc3Bpw07EW/KzLhT+U=,1,0,,4,20170113,20170116
U54+ISzYmgBwtsqws5yRYcXNAvdAxl0HdRjgGC7zd+U=,5,47,female,3,20150209,20150615
IdOfvJMfTMfrmM5rt17S33XkNK5K1pB1mx+Rsj0DA2U=,15,27,male,3,20130525,20171006
6+t89Efx6Ha5iCzKe7fdY9nNZkuyfIlk1CPhho9hhNk=,14,43,male,9,20071115,20180420
Z4mPl8O9F/Ks5+zPzi7SHjJAmLdluIee1lGJ9QvJaSI=,22,36,female,9,20120519,20170907
Wabygct8P9Kw2RF4ToRHmWCwxq/lhbUqOhDZDKhkAGE=,20,22,female,3,20150902,20161219
9hrTF5niZnnVBkXfcQzfzewEIb19UTa7AtM/ydRg53I=,1,0,,7,20131210,20170103
ho3RzdagLWE++cUCO4sd6jksHBRnNoi+6h7nIaz1TIE=,1,0,,7,20110105,20170916
/uaQ+Xvexd0YanrKef0B6R5OUtF9kz4iaPiNztWBvt0=,1,0,,7,20170113,20170912
4nQBOd9prpXa6/GO9xejSfPXQfXF8YNQFBYQEp22XVo=,1,0,,7,20150923,20171003
FfEausbckVJLb5/1iDKPsR14PEZluETO9Jyd8x8K9Us=,6,25,male,9,20161001,20171003
Npg+i+NHwgpr5dCJbeaVokSWDn4oEeWSpQPCCF1ccts=,14,35,female,9,20130228,20171023
ZTvy1MN5I+lfPUzhnVTJg7SuNyzkwKCbo2Oc4gG9S6s=,8,17,male,3,20140815,20171002
ENCimVR+Shaytww7E6WKblr75wK/S/vBeNAPTar2O2s=,6,30,female,9,20080415,20171007
Cychp8L68FflRldqWf84NAbQAqQcVLcfh1Zub/4DSs8=,13,29,female,7,20110304,20171004
hBna+rngAOpDF97bdir9r6szSxNL+xNXkOorQjJcjjQ=,3,0,,3,20130930,20150815
U33o7FTjgjWTRy7v0QyCVPbWvxhai+A5t+eGKcaaXX8=,11,22,female,3,20130816,20170926
sz0lhEn+9kYWYCXJcyWN8k3B1NWHnX4GK9jGUYb0s0M=,1,0,,7,20151018,20170917
kEC1Sf7KyCwGaY4m5An79nEzi1YQch3P4P6+dnExA3Y=,15,25,female,9,20090204,20161107
bi6B9CUGdMigDv8zM7UyHH27gk7JDyF+uBIUS5OaXFM=,1,0,,4,20161231,20170103
mKS6hfIKVZONXJpmT0jEbGo2aLPWhpvwp2x5bLm3AyU=,1,0,,7,20160809,20170908
WjQR/TlGkhq91Ec0jhsXeXHeBS7XTR6RdeoNGU2jRfg=,5,21,female,9,20110315,20110316
vrFtEu5nXvsLr2iwcqIGXojgTPsV20kLqUX9N4L4ibA=,13,0,female,9,20041218,20170925
rb72D/aVPsAs37rz6FPP99OoOJ9SvhB3Oa96hjM4Cuo=,13,0,,9,20150114,20170908
DPu2CtO2uSUL5fppUMkzpH5OnaavNpNfdlXkCw5dHls=,13,18,female,7,20160221,20170920
dlrugx+SK4pvL4wkg783aeoKcZqtd8o/HNo1s0SbhsI=,4,46,female,7,20130623,20170923
azyoXkWb9rcU+n4bx96h2RQpV5FBWHyE78/znZ5GYGU=,5,18,female,9,20150610,20170912
0jd8F/1rQvnnnQSJN5gB31m1aROSxDfK7XEeqeTJeqc=,1,21,male,4,20151206,20170809
ZDFb6T1z4fgJJ8pQ3qe/43NXfKGOX6QEMcgejf4tkRw=,1,0,,7,20151227,20170911
bJ+mYXZ4qPZfi7cdJCCcBcDPvRyr3/JXJ04MsoG+zx0=,1,0,,7,20160304,20170611
H0b3IWM8oiDqtLrdQNXIohUtqFZSXjq/ZvHYdKgcg0g=,4,19,male,4,20151222,20170107
3NH1Z4bjiudGISSgfmNRMKNrEvx6fDZhRiyj71vbOGk=,4,0,,4,20151215,20180317
L44uPD05aJBXh2nACyDYIJmxtAS9PExvvv3Vl85+5WY=,1,0,,7,20160410,20170910
qVjk9jrPSO+iTqsgKoj1alutIRAoa7Z1OVE/Xd9XzXQ=,1,0,,4,20151206,20151209
QwFT30VMca3T+E2elmO7iPrUwkbLi6q0Mz22AUpD9Sw=,1,0,,7,20151010,20161223
YDVF44mYtXsmmlxthydlJjHKGLQV6YIS5W5TJqLfkzQ=,1,0,,7,20130505,20170713
DqmjAPxfipuYrDIOnUfY2MM0LGvSuZsikxxXe7ji0IU=,1,0,,9,20140924,20170913
TpqAiDmdecPbRLFLQ/VN7C6MD/DKviHLiO4zTE8nOKs=,1,0,,7,20111216,20170921
XxmfqdAlhYPFGV57fluUA/tDjRlcCNCTt1o9TEJxjj4=,1,0,male,3,20140827,20170717
ICz6/8FDBpINju767MIE2442HSv+ZXLBaHZ4q7AaZL0=,17,31,,9,20141128,20170304
OcoOmlNgiP4WmzQKxW2wvvJI/mPKdzQzuJwejkSswPk=,1,14,,9,20150618,20170927
8DaphwpKOgfZKsHZfIOMnq+MVxmkoUqtlnK/y2X96ME=,1,0,,4,20161224,20161227
eVm8fPAAIBD/vdUCJoEnKfKj/SA+VOQAUy2Uhj7IYNE=,13,17,female,4,20160922,20170925
7S/jEPMZNIEGgbrLycpDCP+fH8eVF2eBIklH7b9L4iY=,1,0,,7,20100728,20170916
GJCt2oow5WTWic1X+lF/T6/ppvWX4o1EfLoJsZ23yQA=,1,0,,4,20160624,20170812
JGkmdNK3J94u9RNikKNBNmW6cifEMdhXnKV4ZIl7mvs=,1,0,,7,20140912,20170916
xdft2PbLtMHHg5dHdmj6tlOEO4uu4FR0zJs6XKkLTQg=,13,37,female,9,20051027,20171209
8i7VNoTVP5h2tCbl3UQWVLLhUP0vpFrbM8JsefxDpnQ=,1,0,,7,20101217,20171007
xeumZ9l6F61A8SJW2UndfNhb8EnxB6nje4emAcV9UEc=,1,0,,7,20121216,20170911
DVP7Tuk4tYp4n7vWn6yFKqa6IKdR7uLY2kb5RirHa6o=,22,19,male,4,20160609,20180310
CdSQeGXetwxZNkrJNKBZlh+Mm6JGV7H4XfwX3QEWZPc=,18,26,female,9,20100212,20161103
9m7WwdATRyNPfl6Nm3hNolRwFSyccUrjbz89L1oZihg=,1,0,,7,20151228,20170921
2djzicDDBTko3X1BdlJ5hDQyxTwQbexIB+mANJLyyH4=,1,0,,7,20160129,20170829
IVKHDb8k2xN+BzTcDaPh10uwFjadlbqWaU5WkKi0zyk=,5,51,female,9,20070914,20170925
yVTOPRAgHe+IcHez3t+k+e7bIqR7rDMl70Ir7TbOqac=,4,25,female,4,20160605,20170927
zH1EHu9SP6rbnJR+yQO9iiahu7UNcUoEGb6yCc9nJ/c=,1,0,,4,20160425,20160428
8QoKDkL3YYs1Fvltd45kzN5xEFiPsYkPwTsjGCumLMQ=,1,0,,4,20170114,20170117
RhPnFPLNHFRC+O3JSfWA+sca3fUYErhB7cKtUk8EyJQ=,1,20,female,4,20151228,20170709
cOrCrX1TBGdZXYAn98mr/R03pfLFgIHh0v4Esv1fEiY=,13,30,male,9,20080126,20170915
SwLqbG5+scfZZxjGmThJGZq3GFJ4m5SKsmZ5RhRBoss=,1,0,,4,20151125,20170609
boyg3wN8Zlc1lAO6DiWU3HNXrcol3rUxKYrcUBxN5Lk=,1,0,,4,20160127,20170609
zlpBcFKpjwov3ipQ6mFFPAs41FlEehqXghck9n3kJZA=,14,27,female,9,20070210,20170920
+l5buJyf/UcwHJy7qRphF+KNEr8xJIIfscglS0RnClA=,13,36,female,9,20050917,20170928
+Fk9wVwrAN178Bh+9f4ePm9Dys9iAkvoRV60XnpYzvY=,1,0,,9,20160404,20170611
iFJieHlEDCgxguA5cDYGjxssyw3MhgSqWd2NXfWhOjM=,1,0,,7,20110620,20171008
QhTqv3SXu3oNoDhw/RWveyb7CaEGvxUmaEUCE1WpEoM=,1,0,,4,20170117,20170120
4dAbTEPmJiM8eMVozmvXKfypmn2jTM75zkoReXAR/TA=,1,0,,4,20170221,20170224
/jllSYAoZibJ+OBeDikFKEPS1wUBtlPvDF9VBDSRybk=,13,31,female,9,20070806,20171120
BrjHr2sDwLNsKLfAoTZwx6D7+W55aC2+H+UHWLFzVRI=,13,41,male,3,20130317,20170915
5FfFy3wX7HeCF1SAkhu7PyRzYT9BHGNlP44XuDSydZw=,13,47,female,3,20130811,20180323
TeKQ2iUjortzFo/f5nc3KHx1bVBzNL8tFV5u6RZI2/s=,1,21,female,9,20141128,20171002
ef58z9QZT7wWYXKQtum6dFRcEdJo3Vf2DsTUEcoWabM=,14,32,female,9,20100828,20170910
hnL23aKjqyaATMnsavwMmdnrLLy46tOp5f5V52Pd0RI=,1,32,female,4,20151024,20171004
GQHg3oG9EqQU9gMOSRYTxNlqbR75OiXgCmWWzaoTqps=,15,34,female,9,20070625,20171014
wggLZUvX9VOWjet8gS5xjSHFp8ptKzmJi/EmuxmPPVQ=,1,0,,9,20100315,20170901
hOWlkiJ2hEoc+OxodTe7VeP+Czfqb0+qkJmOo+/0dvU=,22,0,,9,20101119,20171018
+UU9vHlbbx3htwGmGiVtR5mEP5eAQOXycC7QdwZ71h8=,15,59,male,3,20140702,20170923
7s/hbVRK/XvFCUxi/aZgXO8vho8gBFZkdX34ucu8vs8=,13,24,male,9,20110606,20170425
t7o/aCHSCTmGY/pHljApIi0skmvXDfgBv6D2rdexwv4=,6,0,,3,20131021,20170916
4jYGK8yctzGWkRXU4y4OGQtCopKL8tCjkI0jNaUT/0c=,22,23,male,9,20120604,20171007
Ro4esuhkwPIVgArTpe7MlGJhlJy9MW7mFEWxuM5dSXE=,1,0,,7,20160119,20161227
1XjK/MwTOEShVHyWLZN3cXjwfW4QCGjWuCAszXkjLHw=,5,16,female,4,20151109,20170708
t2K3zE/WEl84LuZDshjmzCXmdCP5L1eDCavjrCm0vGU=,1,0,,7,20161213,20170913
vyoxo0c6XWEPvhndjGPS1unkM5HiCCFyl0wvXISSBek=,8,21,female,9,20161124,20180115
NNm80OCBAO6WHxJSWVhXll8TAsd9HjFXTa3uSgbDG2c=,4,16,male,3,20170218,20170221
9n7Yef1vL3Z8ZN7IDCOCBzKmLuVW/viQIFSu/7DdKdU=,1,0,,4,20160822,20160825
zrPEmpkTqgl3MmbtKQ6gtmfl5df8Jskl4NC/A6bI6iU=,4,24,male,3,20150502,20170911
bA2m/XPUtYDVjqjP9QIpY4YJ+Lbcx+4xcxb390JU+uI=,1,0,,9,20150721,20170717
FtCJaSTuuhthFdPUkx6916iNmrGRw/mLDR3doFj/NCw=,1,0,,7,20151112,20170926
D9dD56KuXsMxkWsYw/o1FgNwBopA2KO4qN662hNwKo8=,1,0,,3,20130614,20170127
K6M81h0IaT5c1b9TND94m5amypw0a0GqFZpL1OvXMaE=,1,18,male,4,20160304,20171124
OMk+8B9aPDBoiFNkyuzm+48OPrmd431l/7GO9VAM0fw=,1,0,,7,20160314,20170912
mUbyj8ygzwNqpWo9PtOjhgk6iTyzw8Pp15u3plQ5vPs=,1,0,,9,20160212,20170714
0uhCu2bNug+BPtaN2becyCzcWwXa3jloclkJOddcinM=,1,0,,7,20150531,20170921
eHDo51bthai+YM9cpIO1Cs64cCkEbZUIFv0FfMp/AB8=,1,0,,7,20130610,20170909
1xpnSco1U5SYdmvWELnKp4sdORU38GOh/9DbzITOA/U=,1,0,,7,20160305,20171005
Mrg9WcytUJb76oiUK9BpOCg9GZZNZqw7wxD8VelyG8s=,1,0,,4,20160119,20160122
/Hi6Ml65HATvia/URXIEN8/kF6N9INO18ncDCaEAEbo=,1,0,,4,20160417,20160420
2eGF/yO0ntMpaWQKfHsWGRHdP6c495VemGyxc+6YVSg=,1,0,,7,20150415,20171014
Ty59+gs+lfVbfm1T/SDqLmbFhtkAP4Mm75uYiaKZ6kk=,13,27,male,7,20150107,20180125
wbVktbL/srNzJDX8IBlm377iZlZxraNkeTujH3sVmic=,1,0,,4,20160606,20160609
UyxUMzFR0t0C2RnLrwSxPrvaEeZuPLGXaNyFtANndvY=,1,0,,7,20150205,20170919
DOoJssZwX5oPcUF9biNCBr2C2w9cY26Wmy2OuHbd0Qs=,4,0,,3,20140728,20170717
Z38eXUg0Z+C/uhVRiDApQpiEbpDnrZk2hryQTGuszzE=,13,29,male,3,20150811,20171006
uyT/naa8TIRJ/YewI2K4WLm71KLxPcFQ1RSTpUb244A=,1,0,,7,20131224,20170923
h6mKWNdMrb9oSuaf1D/zTBXJTcmRalwKfwI8v++klO4=,1,0,,7,20151203,20171002
ApAIwL7cTFVEUE2Aw1T5aYC6yNviJVUSGnABO4txhpU=,13,30,male,9,20040918,20170930
iT2AO/6wOiqLJby5gm/LCUrKTAtFpedK6w3zDkCEO/g=,1,0,,7,20130614,20170930
fnbfqq3jt8do0YGqWPZSimYI6JUBSz1Syt4eaTKDAcM=,1,0,,7,20111210,20170920
ovdZ39J4RYIDwiHGg4ewQUiYHnxT7ZE3GPECLIUxkqU=,15,26,male,3,20150101,20170519
HJm0vtQoz3SgSQ5twrmwbaPwpTKjNRRBKwdA18toaUM=,15,27,female,3,20120707,20170925
